name,appid_steam_games,genre,tags,positive_rating
SEGA Bass Fishing,71240,"Simulation, Sports","Fishing, Simulation, Sports, Arcade",88.2
Selenophobia,700470,"Adventure, Indie, RPG","RPG, Adventure, Indie, Sexual Content, Anime, Nudity, RPGMaker, Visual Novel",69.8
Serious Sam 2,204340,"Action, Indie","Action, FPS, Co-op, Comedy, Multiplayer, Shooter, First-Person, Gore, Funny, Singleplayer, Classic, Adventure, Indie, Sci-fi, Online Co-Op, Colorful, Great Soundtrack, Atmospheric, Open World, Difficult",89.9
Serious Sam: The Random Encounter,201480,"Action, Indie, RPG","Action, Indie, RPG, Turn-Based, 2D, Singleplayer, Pixel Graphics, Comedy, JRPG, Funny",49.4
Serious Sam Classic: The First Encounter,41050,"Action, Indie","Action, FPS, Classic, Shooter, Indie, Co-op, Comedy, Multiplayer, Singleplayer, Local Co-Op, Gore, First-Person, Sci-fi, Great Soundtrack, Split Screen, Difficult, Adventure, Funny, Old School, Atmospheric",96
Serious Sam Classic: The Second Encounter,41060,"Action, Indie","Action, FPS, Classic, Shooter, Co-op, Indie, First-Person, Gore, Multiplayer, Old School, Comedy, Singleplayer, Great Soundtrack, Split Screen, Sci-fi, Local Co-Op, Adventure, Funny, Difficult, Aliens",96.2
Serious Sam Classics: Revolution,227780,"Action, Indie","Action, FPS, Classic, Shooter, Indie, Co-op, First-Person, Old School, Multiplayer, Comedy, Gore, Sci-fi, Remake, Funny, Early Access, Difficult, Split Screen, Atmospheric, Adventure, Survival",91.1
Serious Sam Double D XXL,111600,"Action, Indie","Action, Indie, Platformer, Shooter, 2D, Comedy, Gore, Local Co-Op, Side Scroller",83.4
Serious Sam Fusion 2017 (beta),564310,"Action, Indie","Action, FPS, Indie, Gore, Multiplayer, VR, First-Person, Co-op, Violent, Shooter, Comedy, Singleplayer, Funny, Great Soundtrack, Online Co-Op, Classic, Difficult, Local Co-Op, Arena Shooter, Local Multiplayer",92.8
Seven Wonders of St. Clementine,1117470,"Casual, Indie","Visual Novel, Horror, Psychological Horror, Dark, Supernatural, Anime, Casual, Indie, Gore, Violent, Choices Matter, Interactive Fiction, Mystery, Story Rich, Nonlinear, Mature, 2D, Hand-drawn, Foreign, Singleplayer",10
Sextris Effect,1088130,Casual,"Casual, Nudity",15.4
Sex with Stalin,1085750,"Indie, Simulation",NA,NA
Sexy Caravan,1344600,Casual,NA,NA
Shadow: Treachery cannot be tolerated,787300,"Action, Adventure, Indie, RPG","Action, Indie, Violent, Adventure, RPG, Memes",30.8
Shadow Puppeteer,316480,"Adventure, Indie","Indie, Adventure, Platformer, Co-op, Local Co-Op, Puzzle, Puzzle-Platformer, Atmospheric, Controller, Short, Dark, Supernatural, 3D Platformer, 2D, Singleplayer, Action-Adventure, 2.5D, 3D Vision, Split Screen, Great Soundtrack",75
Shadows: Awakening,585450,"Action, RPG","RPG, Action, Hack and Slash, Isometric, Singleplayer, Loot, Dark Fantasy, Action RPG, Fantasy, Puzzle, Magic, Real-Time, Story Rich, Atmospheric, Party-Based RPG, Demons, CRPG, Narration, Crafting, Adventure",75.7
Shadows: Price For Our Sins,260270,"Adventure, Casual","Adventure, Casual, Hidden Object, Puzzle, Point & Click, Female Protagonist, Singleplayer",56.6
Shadow Warrior (Classic),358400,Action,"Action, FPS, Classic, 1990's",67.7
Shadow Warrior 2,324800,"Action, Adventure","Action, Looter Shooter, FPS, Gore, Co-op, Ninja, Multiplayer, Shooter, Swordplay, Hack and Slash, First-Person, Comedy, Open World, Demons, Funny, Loot, Singleplayer, Adventure, Parkour, Memes",87.6
Sharknado VR: Eye of the Storm (Arcade Edition),986480,"Action, Casual, Indie, Simulation","Arena Shooter, FPS, Action, PvE, Shooter, Arcade, Casual, 3D, First-Person, VR, Bullet Time, Simulation, Indie, America, Destruction, Combat, Singleplayer, Short, Violent, Gore, VR Only",66.7
Shattered Haven,234370,"Action, Adventure, Indie","Action, Indie, Adventure, Puzzle, Zombies, 2D, Top-Down, Post-apocalyptic, Lovecraftian, Retro, Story Rich, Horror, Co-op",30.1
Shing!,1103730,"Action, Adventure, Indie","Beat 'em up, Side Scroller, Action Roguelike, Hack and Slash, Spectacle fighter, 2D Fighter, Character Action Game, Fighting, PvE, Arcade, 2.5D, Swordplay, Cartoony, Action, Colorful, Anime, Fantasy, Demons, Ninja, Score Attack",76.6
Shirina,873590,"Casual, Indie, Simulation","Indie, Casual, Simulation, Visual Novel, Singleplayer, RPGMaker, Female Protagonist, Short, Interactive Fiction, Text-Based, Adventure, Turn-Based Combat",80
Shoppe Keep,381120,"Adventure, Indie, RPG, Simulation","Simulation, RPG, Indie, Adventure, Management, Economy, First-Person, Early Access, Fantasy, Medieval, Singleplayer, Sandbox, Capitalism, Multiplayer, Replay Value, Funny, Trading, Action, Co-op",62.2
Sid Meier's Civilization III: Complete,3910,Strategy,"Strategy, Turn-Based Strategy, Turn-Based, Classic, 4X, Historical, Singleplayer, Multiplayer, Replay Value, Simulation, Military, Grand Strategy, Exploration, Addictive, City Builder, Old School, War, Isometric, Diplomacy, Alternate History",89.3
Sid Meier's Railroads!,7600,Strategy,"Strategy, Trains, Management, Economy, Simulation, Singleplayer, Multiplayer, Real-Time with Pause, Casual, Classic, Building, Historical",70.4
Silent Hill: Homecoming,19000,Adventure,"Horror, Adventure, Survival Horror, Psychological Horror, Third Person, Story Rich, Great Soundtrack, Atmospheric, Singleplayer, Dark, Action, Survival, Gore, Lovecraftian, Multiplayer, Controller, Third-Person Shooter, RPG",48.4
Sinister Halloween,747690,"Action, Adventure, Indie, Simulation","VR, Horror, Singleplayer, Atmospheric, Indie, Survival Horror, Adventure, Action-Adventure, Werewolves, Gore, First-Person, Survival, FPS, Action, Shooter, Exploration, 3D, Combat, Realistic, Violent",86.1
Sins of a Dark Age,251970,"Action, Free to Play, Indie, RPG, Strategy","MOBA, Dark Fantasy, Strategy, Free to Play, Multiplayer, RPG, Action, Fantasy, Medieval, Indie, Great Soundtrack, RTS",66.5
Sisters of Silent Liberty,1653790,"Action, Adventure, Massively Multiplayer, Strategy","Interactive Fiction, Psychological Horror, Co-op, Online Co-Op, Team-Based, Atmospheric, Exploration, Massively Multiplayer, First-Person, FPS, Adventure, Survival Horror, Strategy, 3D, Puzzle, Minimalist, Horror, Open World, Stealth, Action",11.8
